StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
38,38B,"He et al.,2023",2023,Songnen Plain,"44°33_N, 123°31_E",44.55,La40,123.51667,Lo-0-180,38.91666794,MAP600,6.258333683,MAT8,,Alfalfa,"Alfalfa, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Perennial to Annual,Inconsistent,Maturity stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D5,,3,2,R2,3,ITS1,,Fungal Shannon,Fungal Shannon,5.8,0.58,6.11,0.611,3,3,0.052068856,0.006666667,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
39,39D,"He et al., 2024",2024,"Jining City, Shandong Province, China","33°02_N, 116°23_E",33.033333,La20-40,116.383333,Lo-0-180,67.91666412,MAP600-1200,15.30000019,MAT15,,Garlic,"Garlic, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Amaryllidaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Vegetative stage,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D3-5,D5-10,,5,2,R2,10,ITS1,,Fungal Shannon,Fungal Shannon,5.278225,0.801540474,5.4072575,0.552017519,8,8,0.024152166,0.004185357,,,,,7.63,0,,1.231,-0.099869706,,NA,NA,,0.88,0.065957968,,3.09,-0.244403551,,12.08,0.041351656,,12.78,-1.139336479,,NA,NA,,NA,NA,,NA,NA
39,39E,"He et al., 2024",2024,"Jining City, Shandong Province, China","33°02_N, 116°23_E",33.033333,La20-40,116.383333,Lo-0-180,67.91666412,MAP600-1200,15.30000019,MAT15,,Garlic,"Garlic, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Amaryllidaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Vegetative stage,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D5-10,D10-20,,10,2,R2,20,ITS1,,Fungal Shannon,Fungal Shannon,5.278225,0.801540474,5.82661375,0.256294314,8,8,0.098846133,0.00312446,,,,,7.63,0.00522877,,1.231,-0.131792161,,NA,NA,,0.88,-0.011428696,,3.09,-0.415221283,,12.08,0.141775462,,12.78,-0.11602402,,NA,NA,,NA,NA,,NA,NA
39,39F,"He et al., 2024",2024,"Jining City, Shandong Province, China","33°02_N, 116°23_E",33.033333,La20-40,116.383333,Lo-0-180,67.91666412,MAP600-1200,15.30000019,MAT15,,Garlic,"Garlic, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Amaryllidaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Consistent,Vegetative stage,Rhizosphere,Unknow,Unknow,Unknow,Unknow,D10,D20-30,,15,2,R2,30,ITS1,,Fungal Shannon,Fungal Shannon,5.278225,0.801540474,5.54032,0.690298921,8,8,0.048462394,0.00482311,,,,,7.63,-0.006574646,,1.231,0.073585612,,NA,NA,,0.88,0.204794413,,3.09,-0.232083066,,12.08,0.049263089,,12.78,0.185186515,,NA,NA,,NA,NA,,NA,NA
45,45A,"Huang et al., 2022",2022,"located at Gaocang Stree Hongta District, Yuxi City, Yunnan Province","24°30_N, 103°32_E",24.5,La20-40,103.53333,Lo-0-180,78.41666412,MAP600-1200,15.96666622,MAT15,,Tobacco,"Marigold, Tobacco",Marigold,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Asteraceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Vegetative stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1,D5,,1,2,R2,2,ITS1,,Fungal Shannon,Fungal Shannon,4.82,0.482,4.66,0.466,3,3,-0.03375848,0.006666667,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
46,46D,"Jiang et al., 2022",2022,"Yunnan Academy of Tobacco Agricultural Sciences’ Research Station in Yuxi, Yunnan, China","24°14_N, 102°30_E",24.233333,La20-40,102.5,Lo-0-180,75.58333588,MAP600-1200,16.80833244,MAT15,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,No_Fertilizer,D5-10,D10-20,,6,2,R2,12,ITS1,,Fungal Shannon,Fungal Shannon,3.85,0.138564065,4.13,0.103923048,3,3,0.070204259,0.000642834,,,,,7.3,-0.070951736,,0.587209302,0.297534369,,NA,NA,,0.058,0.666944808,,NA,NA,,NA,NA,,18,1.284015512,,NA,NA,,18,1.284015512,,49.4071,-0.484507448
46,46E,"Jiang et al., 2022",2022,"Yunnan Academy of Tobacco Agricultural Sciences’ Research Station in Yuxi, Yunnan, China","24°14_N, 102°30_E",24.233333,La20-40,102.5,Lo-0-180,75.58333588,MAP600-1200,16.80833244,MAT15,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D5-10,D10-20,,6,2,R2,12,ITS1,,Fungal Shannon,Fungal Shannon,4.01,0.121243557,3.86,0.329089653,3,3,-0.038124058,0.002727608,,,,,6.7,-0.030305349,,0.622093023,0.194705616,,NA,NA,,0.055,0.637057714,,NA,NA,,NA,NA,,38,0.926762032,,NA,NA,,38,0.926762032,,90.9091,0.193135276
46,46F,"Jiang et al., 2022",2022,"Yunnan Academy of Tobacco Agricultural Sciences’ Research Station in Yuxi, Yunnan, China","24°14_N, 102°30_E",24.233333,La20-40,102.5,Lo-0-180,75.58333588,MAP600-1200,16.80833244,MAT15,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D5-10,D10-20,,6,2,R2,12,ITS1,,Fungal Shannon,Fungal Shannon,4.04,0.155884573,4.3,0.103923048,3,3,0.062370331,0.000690975,,,,,7,-0.028987537,,0.691860465,0.162518929,,NA,NA,,0.076,0.146603474,,NA,NA,,NA,NA,,35,0.73511138,,NA,NA,,35,0.73511138,,85.3755,0.567521659
47,,"Jiao et al., 2019",2019,"Huairou District, Beijing","116°37_E, 40°44_N",40.733333,La40,116.616667,Lo-0-180,39.5,MAP600,9.691666603,MAT8-15,,Ginseng,"Ginseng, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Araliaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D1,D5-10,,1,2,R2,10,ITS1,,Fungal Shannon,Fungal Shannon,6.78545,0.678545,6.59636,0.659636,3,3,-0.028262632,0.006666667,,,,,7.425,-0.01593094,,1.146930233,-0.252578167,,NA,NA,,0.134783,-0.047799432,,NA,NA,,NA,NA,,43.3155,0.105359823,,187.701,-0.187465263,,73.7968,0,,NA,NA
47,,"Jiao et al., 2019",2019,"Huairou District, Beijing","116°37_E, 40°44_N",40.733333,La40,116.616667,Lo-0-180,39.5,MAP600,9.691666603,MAT8-15,,Ginseng,"Ginseng, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Araliaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D1,D5-10,,1,2,R2,10,ITS1,,Fungal Shannon,Fungal Shannon,6.78545,0.678545,6.48364,0.648364,3,3,-0.045498533,0.006666667,,,,,7.425,-0.022431534,,1.146930233,-0.3312525,,NA,NA,,0.134783,-0.24968668,,NA,NA,,NA,NA,,43.3155,-0.730888041,,187.701,-0.572525005,,73.7968,-0.217723411,,NA,NA
