StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Longitude,MAPmean,MATmean,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,FungalPrimer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Cabbage,"Cabbage, Maize, Kidney bean","Maize, Kidney bean",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Brassicaceae to Multiple,Non-legume to Legume,nonAM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,6.68,1.454922678,7.73,0.36373067,3,3,0.145990875,0.016550725,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,10.8,0.139761942,,129.66,0.028136599,,100.63,0.101856421,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Kidney bean,"Kidney bean, Maize, Kidney bean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1-3,D3,,1.5,2,R2,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,7.87,0.08660254,7.65,0.173205081,3,3,-0.028352415,0.000211238,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.22,0.284334229,,181.3,0.162171379,,120.75,0.074427353,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Cabbage,"Cabbage, Cabbage, Maize ",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Brassicaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1-3,D3,,1.5,2,R2,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,6.68,1.454922678,7.69,0.779422863,3,3,0.140802796,0.01923699,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,10.8,0.222402536,,129.66,0.347843838,,100.63,0.112213656,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Cabbage,"Cabbage, Kidney bean, Maize","Kidney bean, Maize",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Brassicaceae to Multiple,Non-legume to Legume,nonAM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,6.68,1.454922678,7.77,0.554256258,3,3,0.151152177,0.017508811,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,10.8,0.496275843,,129.66,0.284263464,,100.63,0.034189695,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Kidney bean,"Kidney bean, Kidney bean, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1-3,D3,,1.5,2,R2,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,7.87,0.08660254,7.98,0.08660254,3,3,0.013880349,7.96222E-05,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.22,0.294344322,,181.3,0.002038737,,120.75,-0.12323264,,NA,NA
113,NA,"Wang et al., 2023 (b)",2023,"Hecun base, Yangqu county, Taiyuan city, Shanxi Organic Dry Farming Research Institute, Shanxi Agricultural University","38°04_N, 112°89_E",38.06667,113.48333,36.16666794,9.041666985,,Kidney bean,"Kidney bean, Cabbage, Maize","Cabbage, Maize",,Magnoliopsida,Multiple,Magnoliopsida to Multiple,,Fabaceae to Multiple,Legume to Non-legume,AM to nonAM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D3,,1,3,R3,3,NA,ITS1,,Fungal Simpson,Fungal Simpson,7.87,0.08660254,7.89,0.225166605,3,3,0.002538072,0.00031184,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.22,0.024649135,,181.3,0.005061631,,120.75,-0.12323264,,NA,NA
121,121A,"Wen et al., 2023",2024,Longshan Countyof Hunan Province,"28°46_N, 109°13_E ",28.76667,109.21667,112.4166641,16.85833359,,Tiger lily,"Lilium tigrinum, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Liliaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Tillage,Unknow,Fertilizer,D1,D2,,1,2,R2,2,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.044,0,0.055,0.017320508,3,3,0.223143551,0.033057851,,,,,5.12,-0.007843177,,1.157,0.190641788,,NA,NA,,0.124,0.333010029,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
121,121B,"Wen et al., 2023",2024,Longshan Countyof Hunan Province,"28°46_N, 109°13_E ",28.76667,109.21667,112.4166641,16.85833359,,Tiger lily,"Lilium tigrinum, Rice",Rice,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Liliaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Unknow,Tillage,Unknow,Fertilizer,D1,D2,,1,2,R2,2,NA,ITS1,,Fungal Simpson,Fungal Simpson,0.044,0,0.046,0.017320508,3,3,0.044451763,0.047258979,,,,,5.12,0.073410184,,1.157,-0.077237657,,NA,NA,,0.124,0.156452177,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
126,126A,"Yan et al., 2024",2024,Wenshan Zhuang,"23°15_N, 104°35_E",23.25,104.58333,122.8333359,17.68333244,,Tobacco,"Tobacco, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Solanaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D1,D2,,1,2,R2,2,V4,ITS2,,Fungal Simpson,Fungal Simpson,0.7758729,0.193903161,0.834199091,0.151019825,10,9,0.072483374,0.009887355,,,,,6.23,-0.022728251,,1.393,0.183756277,,NA,NA,,0.134,0.189756535,,10.61,0.774131951,,3.77,0.719326686,,63.72,0.465560313,,582.79,0.202467638,,NA,NA,,NA,NA
B1,NA,"Kang et al., 2020",2020,Dingxi Experimental Station,"104°35’E, 35°33’N",35.55,104.58333,34.16666794,6.666666985,,Potato,"Potato, Broad bean",Fava bean,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Unknow,No_tillage,Unknow,Unknow,D1,D2,,1,2,R2,2,V4-V5,ITS1,,Fungal Simpson,Fungal Simpson,1,0.1,1,0.1,3,3,0,0.006666667,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
